"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2006,1,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,8647170,3374715,8285595,3949602,8498370,3192276,7761120,3661008,8654237,3428622,5752444,3380404
2006,2,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,8647170,3374715,8285595,3949602,8498370,3192276,7761120,3661008,5752444,3688180
2006,3,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,8647170,3374715,8285595,3949602,8498370,3192276,5752444,3620040
2006,4,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,8647170,3374715,8285595,3949602,5752444,3802176
2006,5,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,8647170,3374715,5752444,3282414
2006,6,8670790,3282414,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,8542050,3638626,5752444,3623884
2006,7,8388886,3623884,8670790,3282414,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,8643870,3359516,5752444,3327593
2006,8,8719160,3327593,8388886,3623884,8670790,3282414,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,8380900,3817868,5752444,3810378
2006,9,8339615,3810378,8719160,3327593,8388886,3623884,8670790,3282414,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,7862460,3661292,5752444,3635299
2006,10,7936614,3635299,8339615,3810378,8719160,3327593,8388886,3623884,8670790,3282414,8231500,3802176,8711722,3620040,7714004,3688180,8594000,3380404,8603830,3933685,8333410,3700822,8221590,4159840,5752444,3994681
